matrix,M,K,density,seed,direction,direction_label,config,cycle,macs,ops,avg_util,max_util,spad_load_hits,spad_load_misses,spad_stores,avg_b_elements_on_switch,avg_pes_waiting_spad,avg_pes_fifo_blocked_stall,avg_pes_fifo_empty_stall,avg_sw_idle_b_row_conflict,avg_sw_idle_no_b_element,avg_sw_idle_not_in_range,avg_sw_move_stall_by_fifo,avg_sw_move_stall_by_network,a_nnz,b_nnz,c_nnz
lp_woodw,1098,8418,0.001,42,1,A_real x S,segfold-dtonly,135096,315389,,0.051279,0.226562,7763,209668,305636,2.334555,4.435253,0.0,246.826375,0.000111,240.615118,5.59232,0.108175,0.578522,1654212,4889547,269417
lp_woodw,1098,8418,0.002,42,1,A_real x S,segfold-dtonly,284332,632294,,0.050399,0.246094,11806,420262,599267,2.223788,3.940183,0.0,247.574628,0.000623,240.897458,6.045327,0.115537,0.547761,2415759,9779025,488609
lp_woodw,1098,8418,0.004,42,1,A_real x S,segfold-dtonly,582391,1261736,,0.051364,0.25,15588,836255,1159722,2.166476,3.670927,0.0,248.039539,0.001047,240.664777,6.509623,0.120678,0.653673,3337932,19558119,855876
lp_woodw,1098,8418,0.008,42,1,A_real x S,segfold-dtonly,1155749,2525262,,0.055753,0.25,19124,1653059,2235581,2.184957,3.684214,0.0,248.073169,0.002503,239.978657,5.903021,0.12128,1.342568,4634686,39116238,1466686
lp_woodw,1098,8418,0.016,42,1,A_real x S,segfold-dtonly,2178286,5047519,,0.0573,0.25,22330,3171026,4209079,2.317198,3.618179,0.0,247.908503,0.005193,238.583613,5.546684,0.101145,1.913674,6527253,78232476,2457643
lp_woodw,1098,8418,0.032,42,1,A_real x S,segfold-dtonly,3848459,10093915,,0.054418,0.28125,25353,5656899,7470867,2.622846,3.645777,0.0,247.212173,0.009212,236.920433,4.526506,0.064172,2.694397,9264575,156464883,3977811
pcb3000,3960,7732,0.0005,42,1,A_real x S,segfold-dtonly,75647,223242,,0.056607,0.320312,4736,148327,220049,2.951102,5.762423,0.0,244.750433,0.007747,235.815657,8.114453,0.028117,0.383915,940827,7413216,195802
pcb3000,3960,7732,0.001,42,1,A_real x S,segfold-dtonly,148957,443888,,0.059956,0.410156,7533,296222,433443,2.979974,6.10119,0.0,244.508798,0.007318,235.392375,8.585545,0.03642,0.434676,1515397,14826432,364843
pcb3000,3960,7732,0.002,42,1,A_real x S,segfold-dtonly,292830,887769,,0.068078,0.402344,12204,591487,853691,3.031687,6.210306,0.0,244.386521,0.013209,234.815265,9.157863,0.054602,0.517925,2409835,29652864,670815
pcb3000,3960,7732,0.004,42,1,A_real x S,segfold-dtonly,575327,1777428,,0.066087,0.433594,20112,1170148,1664499,3.089422,6.135165,0.0,244.384957,0.02128,234.122212,9.707052,0.055608,0.570076,3707063,59305480,1208402
pcb3000,3960,7732,0.008,42,1,A_real x S,segfold-dtonly,1140592,3553997,,0.059736,0.445312,31535,2235389,3158708,3.115923,5.970757,0.0,244.464553,0.03322,233.281406,9.23694,0.039855,1.026494,5591537,118611208,2143302
