K,density_A,density_B,seed,config,cycle,macs,ops,avg_util,max_util,spad_load_hits,spad_load_misses,spad_stores,avg_b_elements_on_switch,avg_pes_waiting_spad,avg_pes_fifo_blocked_stall,avg_pes_fifo_empty_stall,avg_sw_idle_b_row_conflict,avg_sw_idle_no_b_element,avg_sw_idle_not_in_range,avg_sw_move_stall_by_fifo,avg_sw_move_stall_by_network,a_nnz,b_nnz,c_nnz
1024,0.001,0.256,44,segfold-dtonly,46708,283254,,0.254176,0.628906,6663,80311,272355,6.064357,30.813501,0.0,216.11407,0.000642,204.108461,8.480068,0.233686,4.735227,17453,17165056,246393
1024,0.002,0.001,42,segfold-dtonly,398,2082,,0.063285,0.109375,0,632,2080,5.231156,3.494975,0.0,235.296482,0.0,224.567839,0.145729,0.0,0.160804,2060,66560,2080
1024,0.002,0.001,43,segfold-dtonly,416,2305,,0.068228,0.125,0,729,2301,5.540865,4.331731,0.0,234.225962,0.0,226.144231,0.182692,0.0,0.175481,2055,70080,2301
1024,0.002,0.001,44,segfold-dtonly,403,2097,,0.063082,0.121094,0,659,2096,5.203474,3.558313,0.0,235.404467,0.0,226.543424,0.153846,0.0,0.08933,2116,64768,2094
1024,0.002,0.002,42,segfold-dtonly,609,4126,,0.094109,0.199219,3,1523,4124,6.775041,10.100164,0.0,227.704433,0.0,215.702791,0.384236,0.0,0.812808,2060,130752,4118
1024,0.002,0.002,43,segfold-dtonly,639,4265,,0.093499,0.183594,3,1623,4259,6.674491,10.134585,0.0,228.057903,0.0,218.251956,0.43349,0.0,0.348983,2055,132736,4252
1024,0.002,0.002,44,segfold-dtonly,617,4166,,0.093225,0.179688,2,1623,4160,6.752026,9.841167,0.0,227.985413,0.0,217.335494,0.3047,0.0,0.312804,2116,130112,4156
1024,0.002,0.004,42,segfold-dtonly,989,8420,,0.163352,0.289062,13,3656,8411,8.51365,26.618807,0.0,210.299292,0.0,201.137513,0.530839,0.0,1.30637,2060,264832,8391
1024,0.002,0.004,43,segfold-dtonly,1022,8624,,0.162148,0.328125,16,3825,8611,8.438356,26.375734,0.0,210.732877,0.0,202.813112,0.491194,0.0,1.170254,2055,271744,8580
1024,0.002,0.004,44,segfold-dtonly,1041,8635,,0.156528,0.296875,16,3828,8621,8.294909,25.214217,0.0,212.486071,0.0,198.907781,0.521614,0.0,1.01537,2116,267904,8596
1024,0.002,0.008,42,segfold-dtonly,1868,16604,,0.237083,0.484375,73,7579,16564,8.888651,45.221627,0.0,192.978051,0.0,187.21788,0.392398,0.0,1.976981,3307,528960,16464
1024,0.002,0.008,43,segfold-dtonly,1887,16938,,0.239314,0.472656,66,7775,16911,8.976153,45.855856,0.0,192.162692,0.0,185.074722,0.520403,0.0,2.532061,3126,540608,16814
1024,0.002,0.008,44,segfold-dtonly,1984,17337,,0.230463,0.480469,96,8024,17309,8.738407,43.986895,0.0,194.660282,0.003528,187.143649,0.440524,0.0,2.05746,3512,533376,17185
1024,0.002,0.016,42,segfold-dtonly,4034,33751,,0.244144,0.53125,449,14681,33603,8.366634,46.831185,0.0,193.38944,0.0,191.0823,0.627417,0.112543,3.434308,5464,1070272,33218
