cycle,macs,ops,avg_util,max_util,spad_load_hits,spad_load_misses,spad_stores,avg_b_elements_on_switch,avg_pes_waiting_spad,avg_pes_fifo_blocked_stall,avg_pes_fifo_empty_stall,avg_sw_idle_b_row_conflict,avg_sw_idle_no_b_element,avg_sw_idle_not_in_range,avg_sw_move_stall_by_fifo,avg_sw_move_stall_by_network,a_nnz,b_nnz,c_nnz,matrix
70711,870688,,0.461108,1.9375,36416,445913,849048,12.313332,27.579457,0.0,218.531233,0.566574,137.706764,76.415183,0.082109,8.818105,45456,21546144,780976,Franz6
155388,1831968,,0.374533,1.449219,56782,1034691,1806420,11.789636,27.31124,0.0,219.313705,0.717713,144.064098,70.560783,0.042101,7.597092,100368,104984928,1702416,Franz8
28372,318739,,0.34073,1.222656,74320,53315,207008,11.23428,32.591252,0.0,191.244043,1.088397,165.263605,16.158713,0.275659,5.932046,46591,14396619,94297,gemat1
81622,216437,,0.04707,0.753906,56197,40419,122043,2.651699,3.735721,0.0,248.411225,0.118191,227.508319,14.244334,0.064811,2.650658,37487,2586603,41940,lp_woodw
194612,598361,,0.068218,0.714844,232451,109996,396293,3.074636,4.875593,0.0,247.596006,0.315803,223.877263,19.796282,0.102193,1.667811,57479,14254792,88884,pcb3000
28338,425668,,0.41803,1.0625,80629,77708,320975,15.021102,54.802456,0.0,173.296986,0.291199,171.857859,11.612817,0.048239,4.060731,57376,51351520,182906,psse1
